date_of_bite,year,month,day,day_of_week,borough,zip_code,latitude,longitude,spay_neuter,mixed/other,pit_bull,german_shepherd,shih_tzu,chihuahua,yorkshire_terrier,bull_dog,labrador_retriever,maltese,husky,standard_poodle,cluster
2018-05-07,2018,5,7,0,brooklyn,11203,40.649569,-73.934327,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-07,2018,5,7,0,brooklyn,11207,40.670157,-73.893835,False,False,False,False,False,False,True,False,False,False,False,False,0
2018-05-07,2018,5,7,0,brooklyn,11214,40.59969,-73.996372,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-08,2018,5,8,1,brooklyn,11236,40.639413,-73.900664,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-01,2018,5,1,1,brooklyn,11238,40.671331,-73.965937,True,False,False,True,False,False,False,False,False,False,False,False,0
2018-03-04,2018,3,4,6,brooklyn,11206,40.70187,-73.942552,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-10,2018,5,10,3,brooklyn,11205,40.696891,-73.968074,False,False,False,False,False,False,False,False,False,False,True,False,0
2018-05-09,2018,5,9,2,brooklyn,11226,40.646409,-73.956663,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-10,2018,5,10,3,brooklyn,11205,40.696891,-73.968074,False,False,False,False,False,False,True,False,False,False,False,False,0
2018-05-12,2018,5,12,5,brooklyn,11230,40.622089,-73.96519,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-12,2018,5,12,5,brooklyn,11221,40.691426,-73.927626,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-14,2018,5,14,0,brooklyn,11225,40.663119,-73.953867,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-12,2018,5,12,5,brooklyn,11235,40.58422,-73.943167,True,False,False,False,False,False,False,True,False,False,False,False,0
2018-05-15,2018,5,15,1,brooklyn,11208,40.674847,-73.87248,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-09,2018,5,9,2,brooklyn,11223,40.597091,-73.973469,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-14,2018,5,14,0,brooklyn,11210,40.62806,-73.946309,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-14,2018,5,14,0,brooklyn,11213,40.671155,-73.936266,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-13,2018,5,13,6,brooklyn,11221,40.691426,-73.927626,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-04-17,2018,4,17,1,brooklyn,11236,40.639413,-73.900664,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-05-17,2018,5,17,3,brooklyn,11201,40.6937,-73.989859,True,False,False,False,False,False,False,False,True,False,False,False,0
2018-05-18,2018,5,18,4,brooklyn,11213,40.671155,-73.936266,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-05-20,2018,5,20,6,brooklyn,11236,40.639413,-73.900664,False,True,False,False,False,False,False,False,False,False,False,False,0
