spay_neuter,borough,year,month,day_of_week,latitude,longitude,mixed/other,pit_bull,shih_tzu,chihuahua,german_shepherd,yorkshire_terrier
False,bronx,2019,1,6,40.830669,-73.908161,False,False,True,False,False,False
False,bronx,2019,1,1,40.886345,-73.901547,True,False,False,False,False,False
False,bronx,2019,1,1,40.890964,-73.846239,False,True,False,False,False,False
False,bronx,2019,1,3,40.825692,-73.892998,False,True,False,False,False,False
False,bronx,2019,1,3,40.825692,-73.892998,False,True,False,False,False,False
False,bronx,2019,1,6,40.852508,-73.913291,False,True,False,False,False,False
True,bronx,2019,1,1,40.822168,-73.922616,True,False,False,False,False,False
True,bronx,2019,1,5,40.81134,-73.885173,True,False,False,False,False,False
False,bronx,2019,1,4,40.875262,-73.872027,True,False,False,False,False,False
False,bronx,2019,1,4,40.852508,-73.913291,False,False,True,False,False,False
True,bronx,2019,1,6,40.837791,-73.923339,True,False,False,False,False,False
False,bronx,2019,1,5,40.852508,-73.913291,True,False,False,False,False,False
False,bronx,2019,1,1,40.81869,-73.858474,False,True,False,False,False,False
False,bronx,2019,1,1,40.837791,-73.923339,True,False,False,False,False,False
False,bronx,2019,1,1,40.837791,-73.923339,True,False,False,False,False,False
False,bronx,2019,1,2,40.886345,-73.901547,False,False,True,False,False,False
False,bronx,2019,1,5,40.852508,-73.913291,True,False,False,False,False,False
False,bronx,2019,1,2,40.814798,-73.908601,True,False,False,False,False,False
False,bronx,2019,1,1,40.868509,-73.846691,True,False,False,False,False,False
False,bronx,2019,1,1,40.875262,-73.872027,True,False,False,False,False,False
True,bronx,2019,1,3,40.869594,-73.795848,False,False,True,False,False,False
False,bronx,2019,1,2,40.852508,-73.913291,True,False,False,False,False,False
False,bronx,2019,1,2,40.852508,-73.913291,True,False,False,False,False,False
False,bronx,2019,1,3,40.852508,-73.913291,True,False,False,False,False,False
True,bronx,2019,1,4,40.868509,-73.846691,True,False,False,False,False,False
False,bronx,2019,1,3,40.829685,-73.869373,True,False,False,False,False,False
False,bronx,2018,10,2,40.868509,-73.846691,False,False,False,True,False,False
False,bronx,2019,2,6,40.843267,-73.860417,True,False,False,False,False,False
False,bronx,2018,11,5,40.805583,-73.916595,False,True,False,False,False,False
False,bronx,2018,12,0,40.837791,-73.923339,True,False,False,False,False,False
False,bronx,2018,11,2,40.822168,-73.922616,False,False,False,True,False,False
False,bronx,2018,12,1,40.827329,-73.82217,True,False,False,False,False,False
False,bronx,2018,12,1,40.827329,-73.82217,True,False,False,False,False,False
False,bronx,2018,12,1,40.886345,-73.901547,True,False,False,False,False,False
False,bronx,2018,12,6,40.890964,-73.846239,True,False,False,False,False,False
False,bronx,2019,2,1,40.845707,-73.897923,True,False,False,False,False,False
False,bronx,2019,1,1,40.829685,-73.869373,True,False,False,False,False,False
False,bronx,2019,2,1,40.852508,-73.913291,False,True,False,False,False,False
False,bronx,2019,2,1,40.875262,-73.872027,False,True,False,False,False,False
False,bronx,2018,12,5,40.81869,-73.858474,True,False,False,False,False,False
False,bronx,2019,2,2,40.837791,-73.923339,False,True,False,False,False,False
False,bronx,2018,12,4,40.842344,-73.879062,False,True,False,False,False,False
False,bronx,2018,12,6,40.81869,-73.858474,False,True,False,False,False,False
True,bronx,2019,2,5,40.875635,-73.826934,True,False,False,False,False,False
True,bronx,2019,2,5,40.890964,-73.846239,True,False,False,False,False,False
False,bronx,2018,11,3,40.889527,-73.872585,True,False,False,False,False,False
True,bronx,2019,2,5,40.86894,-73.899995,False,False,True,False,False,False
False,bronx,2019,2,6,40.845707,-73.897923,False,True,False,False,False,False
True,bronx,2019,2,1,40.889527,-73.872585,False,False,False,True,False,False
False,bronx,2019,2,3,40.869594,-73.795848,True,False,False,False,False,False
False,bronx,2019,2,2,40.886345,-73.901547,False,False,False,False,False,True
False,bronx,2019,2,3,40.830669,-73.908161,False,False,False,False,True,False
False,bronx,2019,2,3,40.868509,-73.846691,False,False,True,False,False,False
False,bronx,2019,2,0,40.890964,-73.846239,False,False,False,True,False,False
False,bronx,2019,2,6,40.875262,-73.872027,True,False,False,False,False,False
False,bronx,2019,2,5,40.822168,-73.922616,False,True,False,False,False,False
False,bronx,2019,2,0,40.827329,-73.82217,True,False,False,False,False,False
True,bronx,2019,2,1,40.886345,-73.901547,False,False,False,False,True,False
False,bronx,2019,2,6,40.81869,-73.858474,False,True,False,False,False,False
False,bronx,2019,2,1,40.886345,-73.901547,True,False,False,False,False,False
False,bronx,2018,12,0,40.875262,-73.872027,False,True,False,False,False,False
False,bronx,2019,2,2,40.875262,-73.872027,True,False,False,False,False,False
False,bronx,2019,2,3,40.845707,-73.897923,True,False,False,False,False,False
False,bronx,2019,2,3,40.845707,-73.897923,True,False,False,False,False,False
False,bronx,2019,1,3,40.814798,-73.908601,False,True,False,False,False,False
True,bronx,2019,2,3,40.846741,-73.840788,False,False,False,False,False,True
False,bronx,2019,2,0,40.837791,-73.923339,False,True,False,False,False,False
False,bronx,2019,2,0,40.862486,-73.886448,False,True,False,False,False,False
False,bronx,2018,12,3,40.862486,-73.886448,False,True,False,False,False,False
True,bronx,2019,2,1,40.899984,-73.906751,False,True,False,False,False,False
False,bronx,2019,2,3,40.81869,-73.858474,True,False,False,False,False,False
False,bronx,2019,2,1,40.830669,-73.908161,True,False,False,False,False,False
True,bronx,2019,2,2,40.830669,-73.908161,True,False,False,False,False,False
False,bronx,2019,2,2,40.843267,-73.860417,False,True,False,False,False,False
True,bronx,2019,3,6,40.890964,-73.846239,True,False,False,False,False,False
True,bronx,2019,2,3,40.86894,-73.899995,True,False,False,False,False,False
False,bronx,2019,3,6,40.899984,-73.906751,True,False,False,False,False,False
True,bronx,2019,3,4,40.845707,-73.897923,False,False,False,False,False,True
False,bronx,2019,3,5,40.886345,-73.901547,False,False,False,False,False,True
False,bronx,2019,3,1,40.862486,-73.886448,True,False,False,False,False,False
